Name,Role,PGY,Call Weeks Completed,Inpatient Days Completed,Prior Electives,Clinic Days
Resident 1,Resident,PGY-2,0,0,0,
Resident 2,Resident,PGY-2,0,0,0,
Resident 3,Resident,PGY-2,0,0,0,
Resident 4,Resident,PGY-3,4,10,1,
Resident 5,Resident,PGY-3,5,12,1,
Resident 6,Resident,PGY-3,3,8,0,
Resident 7,Resident,PGY-4,8,20,2,
Resident 8,Resident,PGY-4,9,22,2,
Resident 9,Resident,PGY-4,10,25,3,
Resident 10,Resident,PGY-5,14,35,4,
Resident 11,Resident,PGY-5,15,38,4,
Dr. A,Attending,,,,,"Monday, Tuesday"
Dr. B,Attending,,,,,Tuesday
Dr. C,Attending,,,,,"Wednesday, Friday"
Dr. D,Attending,,,,,Thursday
Dr. E,Attending,,,,,Monday
Dr. F,Attending,,,,,Tuesday
Dr. G,Attending,,,,,Wednesday
Dr. H,Attending,,,,,Thursday
Dr. I,Attending,,,,,Monday
